r,g
11.52,0.9982
11.55,0.9979
11.58,0.9977
11.61,0.9976
11.64,0.9975
11.67,0.9976
11.7,0.9973
11.73,0.9974
11.76,0.9971
11.79,0.9974
11.82,0.9972
11.85,0.9973
11.88,0.9974
11.91,0.9973
11.94,0.9975
11.97,0.9974
12,0.9974
12.03,0.9975
12.06,0.9977
12.09,0.9977
12.12,0.9978
12.15,0.9978
12.18,0.9981
12.21,0.9981
12.24,0.9982
12.27,0.9982
12.3,0.9984
12.33,0.9984
12.36,0.9985
12.39,0.9987
12.42,0.9987
12.45,0.9989
12.48,0.9989
12.51,0.9991
12.54,0.9992
12.57,0.9992
12.6,0.9993
12.63,0.9993
12.66,0.9996
12.69,0.9996
12.72,0.9997
12.75,0.9997
12.78,0.9999
12.81,0.9999
12.84,1.0001
12.87,1.0002
12.9,1.0003
12.93,1.0003
12.96,1.0005
12.99,1.0006
13.02,1.0005
13.05,1.0007
13.08,1.0007
13.11,1.0007
13.14,1.0008
13.17,1.0009
13.2,1.0009
13.23,1.001
13.26,1.001
13.29,1.001
13.32,1.001
13.35,1.0009
13.38,1.0012
13.41,1.0011
13.44,1.0011
13.47,1.0009
13.5,1.0009
13.53,1.0011
13.56,1.001
13.59,1.001
13.62,1.001
13.65,1.0009
13.68,1.001
13.71,1.0008
13.74,1.0009
13.77,1.0008
13.8,1.0006
13.83,1.0007
13.86,1.0006
13.89,1.0006
13.92,1.0006
13.95,1.0005
13.98,1.0004
14.01,1.0005
14.04,1.0005
14.07,1.0004
14.1,1.0004
14.13,1.0005
14.16,1.0004
14.19,1.0004
14.22,1.0005
14.25,1.0004
14.28,1.0004
14.31,1.0003
14.34,1.0003
14.37,1.0003
14.4,1.0004
14.43,1.0003
14.46,1.0001
14.49,1.0002
14.52,1.0001
14.55,1.0001
14.58,1
14.61,1
14.64,1.0001
14.67,1.0001
14.7,1
14.73,1
14.76,0.9999
14.79,0.9998
14.82,0.9997
14.85,0.9997
14.88,0.9996
14.91,0.9996
14.94,0.9996
14.97,0.9995
15,0.9995
15.03,0.9993
15.06,0.9993
15.09,0.9991
15.12,0.9993
15.15,0.9993
15.18,0.9991
15.21,0.9991
15.24,0.9992
15.27,0.9992
15.3,0.999
15.33,0.9991
15.36,0.9991
15.39,0.9991
15.42,0.9992
15.45,0.9992
15.48,0.9992
15.51,0.999
15.54,0.9992
15.57,0.9991
15.6,0.9993
15.63,0.9993
15.66,0.9994
15.69,0.9995
15.72,0.9993
15.75,0.9994
15.78,0.9995
15.81,0.9996
15.84,0.9997
15.87,0.9995
15.9,0.9999
15.93,0.9997
15.96,0.9997
15.99,0.9998
16.02,0.9999
16.05,0.9999
16.08,1
16.11,0.9999
16.14,1.0001
16.17,1.0001
16.2,1.0002
16.23,1.0001
16.26,0.9999
16.29,1.0001
16.32,1.0003
16.35,1.0002
16.38,1.0002
16.41,1.0003
16.44,1.0001
16.47,1.0002
16.5,1.0004
16.53,1.0002
16.56,1.0002
16.59,1.0002
16.62,1.0003
16.65,1.0002
16.68,1.0002
16.71,1.0004
16.74,1.0005
16.77,1.0004
16.8,1.0002
16.83,1.0003
16.86,1.0004
16.89,1.0004
16.92,1.0003
16.95,1.0004
16.98,1.0003
17.01,1.0004
17.04,1.0001
17.07,1.0002
17.1,1.0002
17.13,1.0003
17.16,1.0002
17.19,1
17.22,1.0001
17.25,1.0001
17.28,1.0001
17.31,1.0003
17.34,1
17.37,1
17.4,1.0001
17.43,1
17.46,0.9999
17.49,1.0002
17.52,1.0001
17.55,1.0001
17.58,1.0001
17.61,0.9999
17.64,1.0001
17.67,0.9999
17.7,1
17.73,1
17.76,0.9998
17.79,0.9998
17.82,1
17.85,0.9998
17.88,0.9999
17.91,1.0001
17.94,0.9998
17.97,0.9996
18,0.9997
18.03,0.9998
18.06,0.9998
18.09,0.9997
18.12,0.9997
18.15,0.9998
18.18,0.9998
18.21,0.9999
18.24,0.9999
18.27,0.9998
18.3,0.9996
18.33,0.9998
18.36,0.9998
18.39,0.9997
18.42,1.0001
18.45,0.9999
18.48,0.9997
18.51,0.9997
18.54,0.9998
18.57,0.9997
18.6,0.9995
18.63,0.9996
18.66,0.9996
18.69,0.9996
18.72,0.9997
18.75,0.9997
18.78,0.9997
18.81,0.9998
18.84,0.9998
18.87,1.0001
18.9,0.9999
18.93,0.9998
18.96,0.9997
18.99,0.9998
19.02,0.9997
19.05,0.9998
19.08,0.9998
19.11,0.9998
19.14,0.9996
19.17,0.9997
19.2,0.9998
19.23,0.9999
19.26,0.9999
19.29,0.9998
19.32,0.9999
19.35,0.9999
19.38,0.9997
19.41,0.9997
19.44,0.9998
19.47,1
19.5,0.9997
19.53,0.9995
19.56,0.9998
19.59,0.9996
19.62,0.9999
19.65,1.0002
19.68,0.9998
19.71,0.9999
19.74,1
19.77,1.0001
19.8,1.0001
19.83,1.0001
19.86,1.0002
19.89,1.0003
19.92,1.0002
19.95,1.0002
19.98,1.0002
20.01,1.0001
20.04,1.0003
20.07,1.0002
20.1,1.0003
20.13,1.0004
20.16,1.0003
20.19,1.0004
20.22,1.0002
20.25,1.0002
20.28,1.0001
20.31,1.0003
20.34,1.0002
20.37,1
20.4,1.0005
20.43,1.0001
20.46,1.0002
20.49,1.0003
20.52,1
20.55,1
20.58,1.0001
20.61,1
20.64,1.0002
20.67,1
20.7,0.9999
20.73,1
20.76,1
20.79,1
20.82,0.9999
20.85,0.9996
20.88,0.9995
20.91,0.9997
20.94,0.9997
20.97,0.9997
21,0.9995
21.03,0.9996
21.06,0.9995
21.09,0.9999
21.12,0.9998
21.15,0.9996
21.18,0.9995
21.21,1
21.24,0.9999
21.27,0.9997
21.3,0.9997
21.33,0.9996
21.36,0.9997
21.39,0.9997
21.42,0.9996
21.45,0.9996
21.48,1
21.51,0.9998
21.54,0.9994
21.57,0.9996
21.6,0.9997
21.63,0.9999
21.66,0.9999
21.69,0.9997
21.72,0.9997
21.75,0.9998
21.78,0.9998
21.81,0.9999
21.84,1
21.87,1
21.9,0.9999
21.93,0.9998
21.96,1.0003
21.99,0.9999
22.02,1.0003
22.05,1.0001
22.08,1.0003
22.11,1.0003
22.14,0.9999
22.17,0.9999
22.2,1.0004
22.23,1.0003
22.26,1.0002
22.29,1.0003
22.32,1.0004
22.35,1.0002
22.38,1.0005
22.41,1.0007
22.44,1.0007
22.47,1.0003
22.5,1.0007
22.53,1.0007
22.56,1.0006
22.59,1.0008
22.62,1.0005
22.65,1.0002
22.68,1.0005
22.71,1.0006
22.74,1.0007
22.77,1.0002
22.8,1.0002
22.83,1
22.86,1.0001
22.89,1.0004
22.92,0.9999
22.95,1.0005
22.98,1.0001
23.01,1.0002
23.04,1.0002
23.07,0.9998
23.1,1.0002
23.13,0.9997
23.16,1.0003
23.19,1
23.22,0.9997
23.25,0.9998
23.28,0.9994
23.31,1.0001
23.34,0.9994
23.37,1
23.4,0.9996
23.43,0.9994
23.46,0.9991
23.49,0.9994
23.52,0.9992
23.55,0.9995
23.58,0.999
23.61,0.9988
23.64,0.9995
23.67,0.9989
23.7,0.9982
23.73,0.9986
23.76,0.9985
23.79,0.9989
23.82,0.9988
23.85,0.9991
23.88,0.9986
23.91,0.9987
23.94,0.9989
23.97,0.9991
24,0.9989
24.03,0.9992
24.06,0.9995
24.09,0.9993
24.12,1.0002
24.15,0.9995
24.18,0.9994
24.21,1.0002
24.24,0.9991
24.27,1.0007
24.3,1.0001
24.33,1.0001
24.36,1.0005
24.39,1.0006
24.42,1.0009
24.45,1.0005
24.48,1.0006
24.51,1.0011
24.54,1.0027
24.57,1.0018
24.6,1.0014
24.63,1.001
24.66,1.0028
24.69,1.0025
24.72,1.0016
24.75,1.0014
24.78,1.0026
24.81,1.0022
24.84,1.0025
24.87,1.0014
24.9,1.0021
24.93,1.0016
24.96,1.0012
24.99,1.0021
