r,g
11.1,1.0018
11.13,1.0019
11.16,1.0018
11.19,1.0018
11.22,1.0016
11.25,1.0016
11.28,1.0015
11.31,1.0014
11.34,1.0013
11.37,1.0012
11.4,1.0011
11.43,1.001
11.46,1.0008
11.49,1.0006
11.52,1.0004
11.55,1.0004
11.58,1.0001
11.61,1
11.64,0.9998
11.67,0.9995
11.7,0.9993
11.73,0.9991
11.76,0.9989
11.79,0.9988
11.82,0.9984
11.85,0.9984
11.88,0.9981
11.91,0.998
11.94,0.9978
11.97,0.9976
12,0.9975
12.03,0.9974
12.06,0.9974
12.09,0.9973
12.12,0.9971
12.15,0.9972
12.18,0.9971
12.21,0.9972
12.24,0.9972
12.27,0.9972
12.3,0.9972
12.33,0.9974
12.36,0.9974
12.39,0.9975
12.42,0.9975
12.45,0.9978
12.48,0.998
12.51,0.998
12.54,0.9982
12.57,0.9983
12.6,0.9985
12.63,0.9987
12.66,0.9989
12.69,0.999
12.72,0.9992
12.75,0.9994
12.78,0.9996
12.81,0.9996
12.84,0.9998
12.87,1
12.9,1.0001
12.93,1.0003
12.96,1.0003
12.99,1.0004
13.02,1.0006
13.05,1.0008
13.08,1.0008
13.11,1.0009
13.14,1.001
13.17,1.001
13.2,1.0011
13.23,1.0012
13.26,1.0013
13.29,1.0013
13.32,1.0014
13.35,1.0014
13.38,1.0014
13.41,1.0014
13.44,1.0014
13.47,1.0014
13.5,1.0014
13.53,1.0013
13.56,1.0014
13.59,1.0013
13.62,1.0013
13.65,1.0013
13.68,1.0013
13.71,1.0012
13.74,1.0012
13.77,1.0011
13.8,1.0011
13.83,1.001
13.86,1.001
13.89,1.0009
13.92,1.0008
13.95,1.0007
13.98,1.0007
14.01,1.0007
14.04,1.0004
14.07,1.0003
14.1,1.0003
14.13,1.0003
14.16,1.0002
14.19,1
14.22,1
14.25,0.9999
14.28,0.9999
14.31,0.9998
14.34,0.9997
14.37,0.9997
14.4,0.9996
14.43,0.9995
14.46,0.9996
14.49,0.9995
14.52,0.9995
14.55,0.9994
14.58,0.9995
14.61,0.9994
14.64,0.9994
14.67,0.9994
14.7,0.9994
14.73,0.9995
14.76,0.9994
14.79,0.9995
14.82,0.9994
14.85,0.9995
14.88,0.9995
14.91,0.9996
14.94,0.9995
14.97,0.9995
15,0.9995
15.03,0.9997
15.06,0.9996
15.09,0.9997
15.12,0.9997
15.15,0.9997
15.18,0.9997
15.21,0.9997
15.24,0.9998
15.27,0.9998
15.3,0.9998
15.33,0.9999
15.36,0.9998
15.39,0.9998
15.42,0.9999
15.45,0.9998
15.48,0.9999
15.51,0.9997
15.54,0.9998
15.57,0.9997
15.6,0.9998
15.63,0.9999
15.66,0.9997
15.69,0.9997
15.72,0.9997
15.75,0.9996
15.78,0.9997
15.81,0.9998
15.84,0.9997
15.87,0.9996
15.9,0.9998
15.93,0.9998
15.96,0.9996
15.99,0.9998
16.02,0.9997
16.05,0.9997
16.08,0.9998
16.11,0.9998
16.14,0.9998
16.17,0.9998
16.2,1
16.23,0.9998
16.26,0.9998
16.29,0.9998
16.32,0.9999
16.35,0.9998
16.38,0.9999
16.41,1
16.44,0.9998
16.47,0.9998
16.5,1.0001
16.53,0.9999
16.56,0.9999
16.59,0.9999
16.62,1
16.65,0.9999
16.68,1
16.71,1
16.74,1
16.77,1.0001
16.8,0.9999
16.83,0.9999
16.86,1
16.89,1
16.92,1
16.95,1.0001
16.98,1.0001
17.01,1.0003
17.04,1
17.07,1.0002
17.1,1.0001
17.13,1.0003
17.16,1.0003
17.19,1.0001
17.22,1.0005
17.25,1.0002
17.28,1.0002
17.31,1.0004
17.34,1.0002
17.37,1.0003
17.4,1.0003
17.43,1.0003
17.46,1.0002
17.49,1.0003
17.52,1.0003
17.55,1.0002
17.58,1.0003
17.61,1.0001
17.64,1.0003
17.67,1.0001
17.7,1.0002
17.73,1.0001
17.76,0.9999
17.79,1
17.82,1
17.85,1
17.88,1
17.91,1
17.94,0.9999
17.97,0.9997
18,0.9998
18.03,0.9999
18.06,0.9998
18.09,0.9996
18.12,0.9999
18.15,0.9998
18.18,0.9997
18.21,0.9998
18.24,0.9997
18.27,0.9997
18.3,0.9995
18.33,0.9996
18.36,0.9996
18.39,0.9996
18.42,0.9997
18.45,0.9997
18.48,0.9996
18.51,0.9995
18.54,0.9997
18.57,0.9998
18.6,0.9997
18.63,0.9997
18.66,0.9996
18.69,0.9998
18.72,0.9999
18.75,0.9997
18.78,0.9998
18.81,0.9998
18.84,0.9998
18.87,0.9999
18.9,0.9998
18.93,0.9996
18.96,0.9996
18.99,0.9998
19.02,0.9997
19.05,0.9998
19.08,0.9997
19.11,0.9997
19.14,0.9997
19.17,0.9997
19.2,0.9999
19.23,0.9999
19.26,0.9999
19.29,1
19.32,1
19.35,1.0001
19.38,0.9999
19.41,1.0001
19.44,0.9999
19.47,1
19.5,1
19.53,1
19.56,1.0001
19.59,1
19.62,1.0002
19.65,1.0003
19.68,1.0002
19.71,1.0002
19.74,1.0001
19.77,1.0001
19.8,1.0001
19.83,1.0001
19.86,1.0001
19.89,1.0002
19.92,1
19.95,1
19.98,1
20.01,0.9998
20.04,1.0001
20.07,1.0001
20.1,1
20.13,1.0001
20.16,1.0002
20.19,1.0002
20.22,1
20.25,0.9999
20.28,0.9999
20.31,1
20.34,1
20.37,0.9999
20.4,1.0001
20.43,1
20.46,0.9998
20.49,1
20.52,0.9998
20.55,0.9999
20.58,1
20.61,0.9998
20.64,1
20.67,0.9998
20.7,0.9999
20.73,1
20.76,0.9998
20.79,0.9999
20.82,0.9998
20.85,0.9997
20.88,0.9998
20.91,0.9997
20.94,0.9998
20.97,0.9997
21,0.9999
21.03,0.9999
21.06,0.9999
21.09,1
21.12,0.9999
21.15,0.9999
21.18,0.9997
21.21,1
21.24,1
21.27,1
21.3,1
21.33,0.9999
21.36,0.9999
21.39,1.0001
21.42,0.9997
21.45,1
21.48,0.9999
21.51,0.9998
21.54,0.9996
21.57,0.9999
21.6,0.9997
21.63,0.9999
21.66,0.9996
21.69,0.9998
21.72,0.9998
21.75,1.0001
21.78,1.0001
21.81,0.9999
21.84,1.0001
21.87,1.0001
21.9,1
21.93,1.0001
21.96,1.0002
21.99,1.0001
22.02,1.0002
22.05,1.0001
22.08,1.0003
22.11,1.0001
22.14,1.0002
22.17,1.0001
22.2,1.0001
22.23,1.0001
22.26,1
22.29,0.9999
22.32,1.0002
22.35,0.9999
22.38,0.9999
22.41,1.0001
22.44,0.9999
22.47,1
22.5,1
22.53,0.9999
22.56,0.9999
22.59,1.0001
22.62,1.0001
22.65,1
22.68,1.0002
22.71,1.0003
22.74,1.0005
22.77,1.0002
22.8,1
22.83,1
22.86,1.0003
22.89,1.0002
22.92,0.9997
22.95,1.0004
22.98,1.0001
23.01,0.9999
23.04,1
23.07,0.9996
23.1,0.9999
23.13,1.0002
23.16,1.0007
23.19,1
23.22,1
23.25,0.9999
23.28,0.9995
23.31,0.9999
23.34,0.9996
23.37,0.9997
23.4,0.9997
23.43,0.9996
23.46,0.999
23.49,0.9997
23.52,0.9996
23.55,0.9998
23.58,0.9995
23.61,0.9996
23.64,0.9998
23.67,0.9995
23.7,0.9992
23.73,0.9991
23.76,0.9998
23.79,1.0001
23.82,0.9999
23.85,0.9997
23.88,0.9993
23.91,0.9998
23.94,1.0001
23.97,0.9997
24,0.9996
24.03,0.9999
24.06,0.9996
24.09,0.9997
24.12,1.0004
24.15,0.9998
24.18,0.9996
24.21,1.0003
24.24,0.9997
24.27,1.0005
24.3,1.0002
24.33,1.0002
24.36,1
24.39,1
24.42,1.0004
24.45,1.0006
24.48,1.0003
24.51,1.0007
24.54,1.0011
24.57,1.0012
24.6,1.0008
24.63,1.0006
24.66,1.0016
24.69,1.0009
24.72,1.001
24.75,1.0002
24.78,1.0019
24.81,1.0003
24.84,1.001
24.87,1.0011
24.9,1.0013
24.93,1.0004
24.96,1.0002
24.99,1.0012
