r,g
0.0,0
1.524355158232437,0
1.6532949834939474,0.006756654353441393
1.7564468437031562,0.027026926713575056
1.842406989539576,0.07432412578728377
1.9025787768305742,0.13513494286768535
1.9455588497487848,0.20945937795477973
1.9885385291738755,0.2770268493886227
2.014326494226178,0.3445946301222757
2.0315186020920857,0.41891875590955946
2.0487107099579926,0.49324319099665387
2.074498675010295,0.5608106624304963
2.091690389383084,0.6351350975175907
2.1088824972489917,0.7162161869581259
2.1260746051148995,0.7905406220452204
2.1432663194876875,0.8648647478325041
2.160458427353596,0.9391891829195985
2.177650535219504,1.0135136180066928
2.194842249592292,1.0810810894405354
2.2120343574581995,1.1554055245276296
2.229226465324108,1.2297296503149135
2.263610681055923,1.304054085402008
2.2979941098015004,1.3783785204891024
2.3237820748538027,1.4459459919229447
2.392550506317434,1.4459459919229447
2.4355301857425244,1.3918918291959845
2.478509865167616,1.3175677034087008
2.5128940808994304,1.2499999226750478
2.547278296631247,1.1824324512412048
2.5730662616835493,1.1081080161541104
2.6160459411086396,1.0472971990737088
2.6504301568404554,0.972973073286425
2.693409836265546,0.905405292552772
2.74498576637015,0.8513514391256218
2.8051579471542682,0.7972972763986617
2.8739255916316613,0.7702703496850867
2.9684812011613557,0.7635133860318352
3.054441346997776,0.7837836583919688
3.131805242154682,0.8243242031122368
3.209169137311588,0.8716217114857555
3.277936781788982,0.9121622562060234
3.338108962573099,0.9594594552797322
3.4068766070504926,1
3.4670487878346097,1.0472971990737088
3.5358164323120027,1.0945947074472282
3.621776578148422,1.1283782885142446
3.6991404733053286,1.135135252167496
3.776504368462235,1.1148649798073618
3.862464514298655,1.0810810894405354
3.9570201238283502,1.0472971990737088
4.060171984037559,1.0135136180066928
4.180515558619556,1.0067566543534414
4.292263669508278,1.0135136180066928
4.404011780396999,1.0135136180066928
4.481375675553906,1.0202702723601338
4.6275072151882055,1.0202702723601338
4.7220628247179,1.0067566543534414
4.842407186286136,1
4.945559046495345,0.9864863819933072
5.031518405345526,0.9797297276398664
5.143266516234248,0.9662161096331735
5.246418376443457,0.9594594552797322
5.340973985973151,0.9594594552797322
5.44412584618236,0.9594594552797322
5.57306567144387,0.9594594552797322
5.676217531653079,0.9662161096331735
5.787965642541801,0.9797297276398664
5.916905467803312,0.972973073286425
6.045845293064823,0.972973073286425
6.234957299110451,0.972973073286425
6.406876803797052,0.972973073286425
6.570200844790378,0.972973073286425
6.750716600156492,0.972973073286425
6.87106017473849,0.9864863819933072
7.051575930104605,0.9797297276398664
