r,g
11.13,1.0003
11.16,1
11.19,0.9999
11.22,0.9998
11.25,0.9996
11.28,0.9995
11.31,0.9994
11.34,0.9991
11.37,0.999
11.4,0.9989
11.43,0.9987
11.46,0.9986
11.49,0.9986
11.52,0.9984
11.55,0.9984
11.58,0.9984
11.61,0.9984
11.64,0.9984
11.67,0.9984
11.7,0.9984
11.73,0.9984
11.76,0.9985
11.79,0.9986
11.82,0.9987
11.85,0.9988
11.88,0.9989
11.91,0.999
11.94,0.9992
11.97,0.9992
12,0.9993
12.03,0.9995
12.06,0.9996
12.09,0.9996
12.12,0.9997
12.15,0.9998
12.18,0.9998
12.21,0.9998
12.24,0.9997
12.27,0.9997
12.3,0.9997
12.33,0.9998
12.36,0.9997
12.39,0.9997
12.42,0.9997
12.45,0.9997
12.48,0.9997
12.51,0.9996
12.54,0.9995
12.57,0.9994
12.6,0.9994
12.63,0.9994
12.66,0.9994
12.69,0.9994
12.72,0.9994
12.75,0.9993
12.78,0.9993
12.81,0.9993
12.84,0.9993
12.87,0.9993
12.9,0.9993
12.93,0.9994
12.96,0.9994
12.99,0.9993
13.02,0.9995
13.05,0.9996
13.08,0.9996
13.11,0.9996
13.14,0.9996
13.17,0.9997
13.2,0.9998
13.23,0.9999
13.26,0.9999
13.29,1
13.32,1
13.35,1.0001
13.38,1.0001
13.41,1.0002
13.44,1.0002
13.47,1.0003
13.5,1.0003
13.53,1.0004
13.56,1.0004
13.59,1.0004
13.62,1.0005
13.65,1.0004
13.68,1.0005
13.71,1.0005
13.74,1.0006
13.77,1.0006
13.8,1.0006
13.83,1.0006
13.86,1.0007
13.89,1.0006
13.92,1.0006
13.95,1.0007
13.98,1.0007
14.01,1.0007
14.04,1.0007
14.07,1.0007
14.1,1.0007
14.13,1.0007
14.16,1.0007
14.19,1.0006
14.22,1.0007
14.25,1.0006
14.28,1.0006
14.31,1.0006
14.34,1.0006
14.37,1.0005
14.4,1.0005
14.43,1.0004
14.46,1.0004
14.49,1.0004
14.52,1.0004
14.55,1.0003
14.58,1.0002
14.61,1.0001
14.64,1.0001
14.67,1
14.7,1
14.73,1
14.76,0.9999
14.79,0.9998
14.82,0.9998
14.85,0.9997
14.88,0.9997
14.91,0.9996
14.94,0.9996
14.97,0.9995
15,0.9995
15.03,0.9995
15.06,0.9994
15.09,0.9995
15.12,0.9995
15.15,0.9994
15.18,0.9993
15.21,0.9994
15.24,0.9993
15.27,0.9994
15.3,0.9994
15.33,0.9994
15.36,0.9994
15.39,0.9994
15.42,0.9994
15.45,0.9994
15.48,0.9995
15.51,0.9994
15.54,0.9995
15.57,0.9994
15.6,0.9996
15.63,0.9996
15.66,0.9996
15.69,0.9996
15.72,0.9996
15.75,0.9996
15.78,0.9997
15.81,0.9997
15.84,0.9998
15.87,0.9996
15.9,0.9997
15.93,0.9997
15.96,0.9997
15.99,0.9999
16.02,0.9997
16.05,0.9998
16.08,0.9997
16.11,0.9998
16.14,1
16.17,0.9999
16.2,0.9999
