Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -18857.4265  -18859.2469       1.8205   391.2
0.0010      -18857.4186  -18859.2731       1.8545   398.5
0.0020      -18857.4306  -18859.3627       1.9322   415.2
0.0030      -18857.4297  -18859.3799       1.9502   419.1
0.0040      -18857.4258  -18859.3144       1.8886   405.9
0.0050      -18857.4279  -18859.2147       1.7868   384.0
0.0060      -18857.4217  -18859.0673       1.6456   353.6
0.0070      -18857.4206  -18858.9475       1.5268   328.1
0.0080      -18857.4235  -18858.8775       1.4541   312.5
0.0090      -18857.4177  -18858.8371       1.4195   305.0
0.0100      -18857.4176  -18858.9105       1.4929   320.8
0.0110      -18857.4320  -18859.0842       1.6522   355.1
0.0120      -18857.4232  -18859.1859       1.7627   378.8
0.0130      -18857.4205  -18859.2990       1.8785   403.7
0.0140      -18857.4295  -18859.4538       2.0243   435.0
0.0150      -18857.4283  -18859.5291       2.1008   451.5
0.0160      -18857.4274  -18859.5169       2.0894   449.0
0.0170      -18857.4287  -18859.4284       1.9997   429.7
0.0180      -18857.4219  -18859.2696       1.8477   397.1
0.0190      -18857.4219  -18859.1418       1.7199   369.6
0.0200      -18857.4290  -18859.0516       1.6225   348.7
0.0210      -18857.4198  -18858.9242       1.5044   323.3
0.0220      -18857.4114  -18858.8846       1.4732   316.6
0.0230      -18857.4217  -18859.0363       1.6146   347.0
0.0240      -18857.4297  -18859.2327       1.8029   387.4
0.0250      -18857.4282  -18859.3378       1.9096   410.4
0.0260      -18857.4234  -18859.3634       1.9401   416.9
0.0270      -18857.4173  -18859.3994       1.9821   426.0
0.0280      -18857.4310  -18859.5177       2.0867   448.4
0.0290      -18857.4420  -18859.5339       2.0919   449.5
0.0300      -18857.4255  -18859.3104       1.8850   405.1
0.0310      -18857.4098  -18859.0833       1.6734   359.6
0.0320      -18857.4169  -18859.0736       1.6566   356.0
0.0330      -18857.4253  -18859.1933       1.7680   379.9
0.0340      -18857.4313  -18859.2914       1.8601   399.7
0.0350      -18857.4275  -18859.2738       1.8462   396.7
0.0360      -18857.4131  -18859.2150       1.8019   387.2
0.0370      -18857.4233  -18859.2958       1.8725   402.4
0.0380      -18857.4334  -18859.3960       1.9626   421.8
0.0390      -18857.4313  -18859.3634       1.9322   415.2
0.0400      -18857.4250  -18859.2275       1.8025   387.4
0.0410      -18857.4194  -18859.0906       1.6711   359.1
0.0420      -18857.4181  -18859.0374       1.6193   348.0
0.0430      -18857.4224  -18859.0816       1.6591   356.5
0.0440      -18857.4238  -18859.1590       1.7352   372.9
0.0450      -18857.4202  -18859.2521       1.8319   393.7
0.0460      -18857.4315  -18859.3796       1.9481   418.6
0.0470      -18857.4285  -18859.4028       1.9743   424.3
0.0480      -18857.4182  -18859.3516       1.9334   415.5
0.0490      -18857.4198  -18859.3751       1.9553   420.2
0.0500      -18857.4348  -18859.4452       2.0104   432.0
0.0510      -18857.4359  -18859.3589       1.9229   413.2
0.0520      -18857.4222  -18859.0924       1.6702   358.9
0.0530      -18857.4069  -18858.8552       1.4483   311.2
0.0540      -18857.4088  -18858.8774       1.4686   315.6
0.0550      -18857.4311  -18859.1140       1.6829   361.7
0.0560      -18857.4318  -18859.2630       1.8312   393.5
0.0570      -18857.4202  -18859.2858       1.8656   400.9
0.0580      -18857.4140  -18859.3574       1.9434   417.6
0.0590      -18857.4244  -18859.5713       2.1469   461.4
0.0600      -18857.4357  -18859.7865       2.3508   505.2
