Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1120      -12459.7573  -12460.4662       0.7089   304.7
0.1130      -12459.7565  -12460.4675       0.7110   305.6
0.1140      -12459.7412  -12460.3766       0.6354   273.1
0.1150      -12459.7445  -12460.3861       0.6415   275.7
0.1160      -12459.7544  -12460.4621       0.7078   304.2
0.1170      -12459.7534  -12460.4699       0.7165   308.0
0.1180      -12459.7540  -12460.4085       0.6545   281.3
0.1190      -12459.7457  -12460.2944       0.5487   235.8
0.1200      -12459.7408  -12460.2545       0.5137   220.8
0.1210      -12459.7577  -12460.3325       0.5748   247.0
0.1220      -12459.7535  -12460.3134       0.5599   240.7
0.1230      -12459.7407  -12460.2436       0.5029   216.1
0.1240      -12459.7490  -12460.2821       0.5331   229.1
0.1250      -12459.7496  -12460.3441       0.5945   255.5
0.1260      -12459.7500  -12460.4071       0.6571   282.4
0.1270      -12459.7601  -12460.4478       0.6877   295.6
0.1280      -12459.7457  -12460.3642       0.6185   265.8
0.1290      -12459.7416  -12460.3360       0.5944   255.5
0.1300      -12459.7570  -12460.4146       0.6575   282.6
0.1310      -12459.7531  -12460.4085       0.6554   281.7
0.1320      -12459.7476  -12460.3409       0.5933   255.0
0.1330      -12459.7433  -12460.2977       0.5544   238.3
0.1340      -12459.7412  -12460.3573       0.6161   264.8
0.1350      -12459.7614  -12460.5179       0.7565   325.1
0.1360      -12459.7607  -12460.5225       0.7618   327.4
0.1370      -12459.7386  -12460.3880       0.6494   279.1
0.1380      -12459.7436  -12460.4034       0.6598   283.6
0.1390      -12459.7603  -12460.5100       0.7497   322.2
0.1400      -12459.7565  -12460.4765       0.7200   309.5
0.1410      -12459.7448  -12460.3409       0.5961   256.2
0.1420      -12459.7370  -12460.2875       0.5505   236.6
0.1430      -12459.7503  -12460.4197       0.6694   287.7
0.1440      -12459.7634  -12460.5464       0.7830   336.5
0.1450      -12459.7506  -12460.4837       0.7331   315.1
0.1460      -12459.7373  -12460.4026       0.6653   286.0
0.1470      -12459.7481  -12460.4850       0.7369   316.7
0.1480      -12459.7624  -12460.5847       0.8223   353.4
0.1490      -12459.7582  -12460.4972       0.7390   317.6
0.1500      -12459.7380  -12460.3000       0.5620   241.5
0.1510      -12459.7395  -12460.2778       0.5384   231.4
0.1520      -12459.7599  -12460.4074       0.6475   278.3
0.1530      -12459.7565  -12460.4077       0.6512   279.9
0.1540      -12459.7427  -12460.3020       0.5593   240.4
0.1550      -12459.7380  -12460.2911       0.5531   237.7
0.1560      -12459.7501  -12460.4437       0.6936   298.1
0.1570      -12459.7649  -12460.5808       0.8159   350.7
0.1580      -12459.7557  -12460.4959       0.7402   318.1
0.1590      -12459.7347  -12460.3299       0.5952   255.8
0.1600      -12459.7463  -12460.3605       0.6142   264.0
0.1610      -12459.7579  -12460.4499       0.6921   297.4
0.1620      -12459.7513  -12460.4183       0.6670   286.7
0.1630      -12459.7412  -12460.3481       0.6069   260.8
0.1640      -12459.7382  -12460.3939       0.6557   281.8
0.1650      -12459.7519  -12460.5919       0.8400   361.0
0.1660      -12459.7684  -12460.7405       0.9721   417.8
0.1670      -12459.7529  -12460.6311       0.8782   377.4
0.1680      -12459.7336  -12460.4956       0.7620   327.5
0.1690      -12459.7568  -12460.5792       0.8224   353.5
0.1700      -12459.7599  -12460.5980       0.8381   360.2
0.1710      -12459.7475  -12460.4655       0.7181   308.6
0.1720      -12459.7392  -12460.3516       0.6124   263.2
0.1730      -12459.7393  -12460.3889       0.6495   279.2
0.1740      -12459.7561  -12460.5607       0.8046   345.8
0.1750      -12459.7635  -12460.6298       0.8663   372.4
0.1760      -12459.7394  -12460.5308       0.7914   340.2
0.1770      -12459.7472  -12460.5597       0.8124   349.2
0.1780      -12459.7626  -12460.6330       0.8705   374.1
0.1790      -12459.7526  -12460.5405       0.7879   338.6
0.1800      -12459.7437  -12460.3945       0.6507   279.7
0.1810      -12459.7395  -12460.3393       0.5998   257.8
0.1820      -12459.7472  -12460.4324       0.6852   294.5
0.1830      -12459.7614  -12460.5552       0.7938   341.2
0.1840      -12459.7530  -12460.5265       0.7735   332.4
0.1850      -12459.7348  -12460.4872       0.7525   323.4
0.1860      -12459.7571  -12460.6521       0.8949   384.6
0.1870      -12459.7609  -12460.7473       0.9864   423.9
0.1880      -12459.7498  -12460.6694       0.9197   395.3
0.1890      -12459.7431  -12460.5684       0.8252   354.7
0.1900      -12459.7293  -12460.5375       0.8082   347.3
0.1910      -12459.7391  -12460.5975       0.8585   369.0
0.1920      -12459.7434  -12460.5945       0.8512   365.8
