x, y
0.16509451361981833, 0
3.0896230701366254, 0
3.21933986666194, 0.0266903910967408
3.3018866736254897, 0.11743735428891755
3.3608489356545164, 0.2081851320071891
3.408018925216282, 0.3096084959958913
3.4433966423107853, 0.4537366486445978
3.47877345971257, 0.6032027980600432
3.502358904339811, 0.7313163495139616
3.537735721741597, 1.0516014499379025
3.5731134388361, 1.2170817932850873
3.6084902562378844, 1.3665481463320563
3.6320757008651268, 1.510676095349239
3.667452518266911, 1.6441280508329446
3.7146225078286768, 1.7775800063166498
3.7382079524559186, 1.9003558664511155
3.797170214484945, 1.996441335488841
3.8325470318867287, 2.065836311614063
3.915094738542998, 2.103202899875805
3.9976415455065464, 2.081850607361565
4.068396080002835, 2.0284698251680826
4.139150614499124, 1.953736648644598
4.209906048688131, 1.8790035739368753
4.292452855651681, 1.7935944038799136
4.374999662615231, 1.7135232305896906
4.433961924644256, 1.6334520572994673
4.4929241866732825, 1.5533808840092438
4.575471893329552, 1.4572953131557567
4.622641882891318, 1.382562340263796
4.681604144920344, 1.291814969808572
4.74056640694937, 1.2010675993533475
4.834905486380182, 1.1156584292963858
4.893867748409209, 1.0302490556079
4.988207727532737, 0.9555160827159395
5.0943399791235295, 0.8754449094257163
5.212264503181583, 0.80604972966897
5.377358117108683, 0.7633451446404894
5.5306603582612395, 0.725978760010271
5.71933941681558, 0.71530256284527
5.931603919997165, 0.725978760010271
6.132075251018766, 0.7633451446404894
6.297169764638584, 0.8220641272322335
6.415094288696639, 0.864768712260715
6.5919810747837175, 0.9341636883859368
6.757075588403536, 0.9928826709776817
6.9221701020233555, 1.0409252527729012
7.110849160577696, 1.0782918410346434
7.299528219132037, 1.1103202288981233
7.523584994780883, 1.1156584292963858
7.747641770429727, 1.1103202288981233
7.94811310145133, 1.0943060349663831
8.172169877100174, 1.0676156438696423
8.455188914778047, 1.0249110588411612
8.808962486952206, 0.9661922798809405
9.09198062493736, 0.9448398855509381
9.363208289840689, 0.9341636883859368
9.610848710731336, 0.9395018887841997
9.90566002087647, 0.9555160827159395
10.129717696218032, 0.9875444705794191
10.377358117108681, 1.003558664511159
10.62500033738477, 1.0195730620744228
10.931603020304443, 1.0195730620744228
11.191038412740513, 1.0195730620744228
11.403301116536658, 1.0195730620744228
