r,g
0.1756311745334797,0
1.659714599341383,0
2.2129527991218443,0
2.4500548847420416,0.01929260450160772
2.5115257958287596,0.22186495176848875
2.5466520307354554,0.3762057877813505
2.564215148188804,0.6655948553054662
2.5817782656421517,1.0418006430868167
2.6256860592755213,1.379421221864952
2.6520307354555435,1.8424437299035372
2.6695938529088914,2.189710610932476
2.7047200878155873,2.546623794212219
2.739846322722283,3.144694533762058
2.862788144895719,2.951768488745981
2.906695938529089,2.4887459807073955
2.9506037321624587,1.996784565916399
3.020856201975851,1.4951768488745982
3.0735455543358947,1.0803858520900322
3.1350164654226127,0.752411575562701
3.2667398463227224,0.4437299035369775
3.3896816684961584,0.3569131832797428
3.556531284302964,0.4437299035369775
3.7321624588364437,0.39549839228295824
3.8902305159165755,0.5016077170418007
4.013172338090011,0.5980707395498392
4.162458836443469,0.7234726688102895
4.285400658616904,0.8585209003215435
4.425905598243689,1.022508038585209
4.5488474204171245,1.1864951768488747
4.680570801317234,1.3215434083601287
4.829857299670691,1.2733118971061095
4.944017563117454,1.1864951768488747
5.093304061470911,1.157556270096463
5.2250274423710215,1.09967845659164
5.356750823271131,1.0418006430868167
5.453347969264545,1.0707395498392285
5.558726673984633,0.9839228295819936
5.690450054884742,0.9839228295819936
5.848518111964874,0.9839228295819936
5.989023051591658,0.9260450160771705
6.129527991218441,0.9163987138263666
6.278814489571899,1.0032154340836015
6.428100987925357,0.9742765273311897
6.533479692645445,0.9742765273311897
6.638858397365532,1.0610932475884245
6.761800219538968,1.090032154340836
6.893523600439078,1.022508038585209
7.0340285400658615,1.032154340836013
7.18331503841932,1.0514469453376207
7.3413830954994514,1.0418006430868167
7.499451152579583,1.0418006430868167
7.6487376509330405,0.9935691318327975
7.885839736553239,1.0418006430868167
