r,g
0.0,0.0
2.4002829458744617,0.0
2.510608527872111,0.0338985615165478
2.544554263126714,0.141949208020407
2.5785007753493927,0.36440691773967937
2.5954736429766947,0.5932204622675709
2.612447287572072,0.8855932277360543
2.637906977497062,1.2288135445278914
2.654879845124363,1.40042370292381
2.6633666674220526,1.5783899870798153
2.6633666674220526,1.7944915710390017
2.6803395350493533,1.9343219734888906
2.6888263573470432,2.156779683208163
2.6973124026766553,2.3283898416040816
2.7142860472720334,2.5635593664163254
2.722772092601645,2.7733051155668926
2.7397457371970226,2.9639830693401352
2.7652054271220132,3.078389841604081
2.790665117047004,3.1673728382063504
2.833097674599295,3.06567802651111
2.8585573645242857,2.9703390496244886
2.867044186821974,2.8432203167918373
2.8755302321515863,2.6970339340575955
2.9094767443742655,2.5444915710390013
2.9264496120015675,2.385593227736054
2.9349364342992557,2.2394066995260786
2.943423256596945,2.1122882576448956
2.9603961242242463,2.0105931549981877
2.985855814149237,1.8644069177396796
2.994342636446925,1.6864406335836744
3.011315504074227,1.5084746403791367
3.0537480616265182,1.3241525214145127
3.0707217062218954,1.177966284156005
3.096181396146886,1.012711960568705
3.121641086071876,0.8792373929274352
3.1555868213264793,0.7394069904775462
3.1980201558468475,0.5868646274589517
3.2659124033241285,0.459745894626301
3.3507782953967884,0.3389832875537362
3.4695899227240505,0.28813573623038247
3.5968883723490013,0.2944915710390009
3.7496465118989426,0.3389832875537362
3.9108914737465725,0.4088983433029467
4.029703101073835,0.5042373201895682
4.148514728401097,0.59957629707619
4.224893798176068,0.7012713997228975
4.318246512546416,0.8283898416040814
4.403111627650999,0.9745763698140568
4.47949069742597,1.095338976886621
4.572843411796319,1.235169670287978
4.691655039123581,1.3050847260371885
4.844413178673522,1.3177966866058939
4.963224806000784,1.2669491352825397
5.107496900221112,1.2097457491505668
5.251768217473365,1.1588984887786804
5.455445736873287,1.095338976886621
5.62517674405053,1.0254239211374105
5.77793488360047,0.9936441651913809
5.94766666774579,0.9809322046226754
6.108910852625343,0.9618644092453512
6.287128682100274,0.9618644092453512
6.482320156170584,0.9682205350054377
6.669024030975128,0.9809322046226754
6.830268992822758,1.012711960568705
7.008486822297689,1.0190677953773242
7.21216434169761,1.0254239211374105
7.4582744186498235,1.012711960568705
7.636492248124755,0.9936441651913809
7.975955039447318,0.9872883303827619
