dset_key                                ,group_key         ,1-body ,2-body ,3-body ,E_unit   ,R_unit   ,E_mae                 ,E_rmse                ,E_sse                  ,E_max_abs_err        ,F_mae                ,F_rmse               ,F_sse                  ,F_max_abs_err        ,time
md-sampling/140h2o-xtb.md-samples.exdir ,1h2o              ,True   ,False  ,False  ,kcal/mol ,Angstrom ,0.0018069857903411431 ,0.002214461032285159  ,0.09077003515155997    ,0.012167595230553356 ,0.007086639171727958 ,0.009792127946476764 , 15.973610377683329    ,0.21874678940165285  ,80.54788613319397
md-sampling/140h2o-xtb.md-samples.exdir ,2h2o              ,False  ,True   ,False  ,kcal/mol ,Angstrom ,0.017019282284054346  ,0.026782190626250542  ,7.97908651325691       ,0.46151845927999646  ,0.040909498669604936 ,0.061518688581458224 ,757.7878243348773      ,2.6607229683852482   ,64.71796321868896
md-sampling/140h2o-xtb.md-samples.exdir ,3h2o              ,False  ,False  ,True   ,kcal/mol ,Angstrom ,0.013478244447577533  ,0.017819203155475954  ,1.5876200054806213     ,0.08767895735633639  ,0.016776557677115875 ,0.023945458985922725 , 77.40697581627849     ,0.33069618736343964  ,32.92726016044617
isomers/h2o-temelso.etal.exdir          ,4h2o              ,True   ,True   ,True   ,kcal/mol ,Angstrom ,0.7534497963429193    ,0.7616205594672595    ,1.7401976298096642     ,0.8456202958557704   ,0.6009015452926162   ,0.9056469525640648   , 88.58121149036639     ,2.4442514407451394   , 0.2854766845703125
isomers/h2o-temelso.etal.exdir          ,4h2o/samples_1h2o ,True   ,False  ,False  ,kcal/mol ,Angstrom ,0.0018106039800602593 ,0.0021264458395725367 ,5.42612629036242e-05   ,0.004232075663150485 ,0.007623842714031381 ,0.009834910452452175 ,  0.01044635006963733  ,0.02376305820561242  , 0.0842125415802002
isomers/h2o-temelso.etal.exdir          ,4h2o/samples_2h2o ,False  ,True   ,False  ,kcal/mol ,Angstrom ,0.01303001652539472   ,0.014787190565385395  ,0.003935898086706411   ,0.02683694582522296  ,0.033011294747317434 ,0.041021950246679005 ,  0.5452273302612866   ,0.12382211094902282  , 0.13267111778259277
isomers/h2o-temelso.etal.exdir          ,4h2o/samples_3h2o ,False  ,False  ,True   ,kcal/mol ,Angstrom ,0.09800510675176864   ,0.11363029402556339   ,0.15494212464403181    ,0.2814459630332879   ,0.1534501158273124   ,0.2266146373349781   , 16.638758808846227    ,0.8837141885265273   , 0.1087045669555664
isomers/h2o-temelso.etal.exdir          ,5h2o              ,True   ,True   ,True   ,kcal/mol ,Angstrom ,0.9187224871119718    ,0.9778877837130704    ,6.693851622746824      ,1.7173156156129943   ,0.6055060643331719   ,0.9106370759814199   ,261.21686350787695     ,3.8733849849130695   , 1.0729787349700928
isomers/h2o-temelso.etal.exdir          ,5h2o/samples_1h2o ,True   ,False  ,False  ,kcal/mol ,Angstrom ,0.0018063591947628421 ,0.0021800328229595258 ,0.00016633900882133079 ,0.005577722137142451 ,0.006650495472883984 ,0.008942872806811917 ,  0.025192116822227044 ,0.02547992066799071  , 0.18505597114562988
isomers/h2o-temelso.etal.exdir          ,5h2o/samples_2h2o ,False  ,True   ,False  ,kcal/mol ,Angstrom ,0.011521885398059522  ,0.014212655052919196  ,0.014139969455728868   ,0.03059870262727249  ,0.03332221466316546  ,0.04261789553856653  ,  2.2885191253715726   ,0.14687875633510575  , 0.4293394088745117
isomers/h2o-temelso.etal.exdir          ,5h2o/samples_3h2o ,False  ,False  ,True   ,kcal/mol ,Angstrom ,0.05866778805545023   ,0.0924898795808495    ,0.5988064477416029     ,0.33457388691107603  ,0.10328478706243466  ,0.17686863122275165  , 59.12394902305237     ,1.562349607513788    , 0.4899294376373291
isomers/h2o-temelso.etal.exdir          ,6h2o              ,True   ,True   ,True   ,kcal/mol ,Angstrom ,1.8043022682127439    ,1.8766279005809943    ,28.173858217912247     ,2.472997082917585    ,0.7737944503193377   ,1.1525860613318033   ,573.8923996313872      ,4.286418615292907    , 2.0289835929870605
isomers/h2o-temelso.etal.exdir          ,6h2o/samples_1h2o ,True   ,False  ,False  ,kcal/mol ,Angstrom ,0.001560082684229124  ,0.0019598536549044606 ,0.0001843692647348339  ,0.004807204734390655 ,0.0074620790005466   ,0.0095939393068258   ,  0.039762866054760676 ,0.024748911916648374 , 0.23859381675720215
isomers/h2o-temelso.etal.exdir          ,6h2o/samples_2h2o ,False  ,True   ,False  ,kcal/mol ,Angstrom ,0.012504493825885279  ,0.01561188231580392   ,0.029247704333101338   ,0.05715238802233541  ,0.03158395777710755  ,0.04127782494610973  ,  3.6803350777284267   ,0.18189978676814766  , 0.743065357208252
isomers/h2o-temelso.etal.exdir          ,6h2o/samples_3h2o ,False  ,False  ,True   ,kcal/mol ,Angstrom ,0.04059467414722355   ,0.05764494224930616   ,0.5316702987081346     ,0.2704937694395162   ,0.06521260683102159  ,0.11733993929610381  , 59.48061704933757     ,1.1275731621677685   , 1.106874942779541
isomers/16h2o-yoo.etal.exdir            ,                  ,True   ,True   ,True   ,kcal/mol ,Angstrom ,4.560460400102852     ,4.560460400102852     ,20.797799060906268     ,4.560460400102852    ,0.7671277265159796   ,1.0729095776821602   ,165.76343451102406     ,3.538665321937381    , 3.4160194396972656
isomers/16h2o-yoo.etal.exdir            ,samples_1h2o      ,True   ,False  ,False  ,kcal/mol ,Angstrom ,0.001976856330391823  ,0.002279247749281933  ,8.311952484170813e-05  ,0.003721703260705265 ,0.007593271480250802 ,0.0099215980367407   ,  0.014175087494782595 ,0.021972267769854024 , 0.0912466049194336
