dset_key                                ,group_key         ,1-body ,2-body ,3-body ,E_unit   ,R_unit   ,E_mae                  ,E_rmse                 ,E_sse                  ,E_max_abs_err          ,F_mae                  ,F_rmse                 ,F_sse                  ,F_max_abs_err         ,time
md-sampling/140h2o-xtb.md-samples.exdir ,1h2o              ,True   ,False  ,False  ,kcal/mol ,Angstrom ,0.0001400801763043374  ,0.0005968080206895876  ,0.006592888348984922   ,0.06806988390599145    ,0.0003367317855669438  ,0.002545150806904863   ,1.0791354742131214     ,0.30711991215096646   ,  6.708127737045288
md-sampling/140h2o-xtb.md-samples.exdir ,2h2o              ,False  ,True   ,False  ,kcal/mol ,Angstrom ,0.04586752990753581    ,0.0651426660950766     ,47.20543870702192      ,0.45742514420357905    ,0.09199005666459845    ,0.1429668913844649     ,4092.6483778589327     ,1.4037008081117461    , 30.05668354034424
md-sampling/140h2o-xtb.md-samples.exdir ,3h2o              ,False  ,False  ,True   ,kcal/mol ,Angstrom ,0.00948810725233717    ,0.017220273636061947   ,1.482689120504251      ,0.22023537560724743    ,0.011742728802264929   ,0.019843156796210466   ,53.15636767126412      ,0.4425699055129977    ,124.53561496734619
isomers/h2o-temelso.etal.exdir          ,4h2o              ,True   ,True   ,True   ,kcal/mol ,Angstrom ,0.7928427290074372     ,0.8176013586704711     ,2.005415945099401      ,1.000413120345911      ,0.529756829338111      ,0.7764693548931227     ,65.11370318151937      ,2.0129850320825406    ,  0.5639784336090088
isomers/h2o-temelso.etal.exdir          ,4h2o/samples_1h2o ,True   ,False  ,False  ,kcal/mol ,Angstrom ,0.00010594230540543019 ,0.00010650336908059614 ,1.3611561150621219e-07 ,0.00011850288137793541 ,0.00010366788846208482 ,0.0001540757238440373  ,2.5638474972309166e-06 ,0.0006262561324597016 ,  0.021123170852661133
isomers/h2o-temelso.etal.exdir          ,4h2o/samples_2h2o ,False  ,True   ,False  ,kcal/mol ,Angstrom ,0.03002291728255519    ,0.050467052802380064   ,0.045844621534047905   ,0.18531033692251553    ,0.13240577236727025    ,0.17618138331052652    ,10.056921063368257     ,0.6706040422379349    ,  0.08906173706054688
isomers/h2o-temelso.etal.exdir          ,4h2o/samples_3h2o ,False  ,False  ,True   ,kcal/mol ,Angstrom ,0.09328827397421163    ,0.10022238669151572    ,0.12053432152972447    ,0.11845847873358184    ,0.07639733433799224    ,0.10838553178220785    ,3.806165213906684      ,0.4699271836668745    ,  0.45310378074645996
isomers/h2o-temelso.etal.exdir          ,5h2o              ,True   ,True   ,True   ,kcal/mol ,Angstrom ,1.0875931040209252     ,1.117946967888306      ,8.748637961074602      ,1.5851535743277054     ,0.6273700199209623     ,0.9053961360714315     ,258.2187814121197      ,3.116166859779452     ,  2.2113099098205566
isomers/h2o-temelso.etal.exdir          ,5h2o/samples_1h2o ,True   ,False  ,False  ,kcal/mol ,Angstrom ,0.00010003192312849154 ,0.00010141628332722673 ,3.5998418833679144e-07 ,0.00011971888307016343 ,0.000160998216121343   ,0.00021423973609503106 ,1.4458079324451594e-05 ,0.000823252751803949  ,  0.029923200607299805
isomers/h2o-temelso.etal.exdir          ,5h2o/samples_2h2o ,False  ,True   ,False  ,kcal/mol ,Angstrom ,0.04708143640753412    ,0.06645074838441821    ,0.3090991372594481     ,0.2115040145375915     ,0.12723108002656347    ,0.17994342900031435    ,40.79834342689286      ,0.8619171378560764    ,  0.38756322860717773
isomers/h2o-temelso.etal.exdir          ,5h2o/samples_3h2o ,False  ,False  ,True   ,kcal/mol ,Angstrom ,0.07112138596463866    ,0.09724806539650893    ,0.6620030356354575     ,0.35257673280428126    ,0.06678798425072749    ,0.10688644810427798    ,21.592707169978684     ,0.9560019966988529    ,  2.159639596939087
isomers/h2o-temelso.etal.exdir          ,6h2o              ,True   ,True   ,True   ,kcal/mol ,Angstrom ,1.7649893604320823     ,1.790869637157208      ,25.65771245833272      ,2.342708552198019      ,0.8681499001542277     ,1.2586485948158328     ,684.3727952201682      ,4.173849351991766     ,  4.774749517440796
isomers/h2o-temelso.etal.exdir          ,6h2o/samples_1h2o ,True   ,False  ,False  ,kcal/mol ,Angstrom ,0.0001052210777743312  ,0.00010611250326938987 ,5.404734408046213e-07  ,0.00012958378647454083 ,0.00017330010396357412 ,0.00023689716114571474 ,2.4243954462244258e-05 ,0.0014311297040912052 ,  0.043207406997680664
isomers/h2o-temelso.etal.exdir          ,6h2o/samples_2h2o ,False  ,True   ,False  ,kcal/mol ,Angstrom ,0.034982606954544346   ,0.04949985520373364    ,0.2940282798228715     ,0.23536161949085477    ,0.10458780383346793    ,0.15048569433388462    ,48.915239470166924     ,0.7589520156682665    ,  0.43694043159484863
isomers/h2o-temelso.etal.exdir          ,6h2o/samples_3h2o ,False  ,False  ,True   ,kcal/mol ,Angstrom ,0.04125332324825116    ,0.054911350777982745   ,0.4824410310820267     ,0.1804659631835921     ,0.04139280560750625    ,0.06744640099105112    ,19.651753468709252     ,0.6873458268682208    ,  4.488493919372559
isomers/16h2o-yoo.etal.exdir            ,                  ,True   ,True   ,True   ,kcal/mol ,Angstrom ,4.012809572042897      ,4.012809572042897      ,16.1026406614791       ,4.012809572042897      ,0.9030471039551524     ,1.1208249920307847     ,180.89980743755643     ,2.8469182016728363    , 11.74439024925232
