Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1120      -12459.7822  -12460.5513       0.7690   330.5
0.1130      -12459.7613  -12460.4782       0.7170   308.1
0.1140      -12459.7676  -12460.5012       0.7336   315.3
0.1150      -12459.7767  -12460.5553       0.7785   334.6
0.1160      -12459.7676  -12460.5055       0.7379   317.2
0.1170      -12459.7659  -12460.4554       0.6895   296.3
0.1180      -12459.7708  -12460.4357       0.6648   285.7
0.1190      -12459.7668  -12460.3944       0.6277   269.8
0.1200      -12459.7677  -12460.3813       0.6136   263.7
0.1210      -12459.7731  -12460.3837       0.6106   262.4
0.1220      -12459.7619  -12460.3630       0.6011   258.4
0.1230      -12459.7730  -12460.4305       0.6574   282.6
0.1240      -12459.7755  -12460.4550       0.6795   292.1
0.1250      -12459.7636  -12460.3976       0.6340   272.5
0.1260      -12459.7658  -12460.4021       0.6363   273.5
0.1270      -12459.7682  -12460.4559       0.6877   295.6
0.1280      -12459.7733  -12460.5066       0.7333   315.2
0.1290      -12459.7711  -12460.4921       0.7210   309.9
0.1300      -12459.7647  -12460.4521       0.6874   295.4
0.1310      -12459.7638  -12460.4963       0.7326   314.9
0.1320      -12459.7798  -12460.6162       0.8364   359.5
0.1330      -12459.7726  -12460.6129       0.8404   361.2
0.1340      -12459.7628  -12460.5555       0.7927   340.7
0.1350      -12459.7643  -12460.5796       0.8152   350.4
0.1360      -12459.7707  -12460.6618       0.8911   383.0
0.1370      -12459.7759  -12460.7022       0.9263   398.1
0.1380      -12459.7694  -12460.6398       0.8704   374.1
0.1390      -12459.7641  -12460.5737       0.8096   348.0
0.1400      -12459.7690  -12460.5940       0.8250   354.6
0.1410      -12459.7785  -12460.6272       0.8487   364.8
0.1420      -12459.7702  -12460.5539       0.7836   336.8
0.1430      -12459.7647  -12460.4636       0.6989   300.4
0.1440      -12459.7646  -12460.4393       0.6747   290.0
0.1450      -12459.7683  -12460.4726       0.7043   302.7
0.1460      -12459.7719  -12460.5032       0.7313   314.3
0.1470      -12459.7716  -12460.4798       0.7082   304.4
0.1480      -12459.7660  -12460.4257       0.6597   283.5
0.1490      -12459.7692  -12460.4272       0.6581   282.8
0.1500      -12459.7760  -12460.4481       0.6721   288.9
0.1510      -12459.7698  -12460.4009       0.6311   271.2
0.1520      -12459.7646  -12460.3528       0.5882   252.8
0.1530      -12459.7677  -12460.3645       0.5969   256.5
0.1540      -12459.7671  -12460.3960       0.6289   270.3
0.1550      -12459.7678  -12460.4439       0.6761   290.6
0.1560      -12459.7718  -12460.4999       0.7281   312.9
0.1570      -12459.7699  -12460.5280       0.7581   325.8
0.1580      -12459.7699  -12460.5588       0.7889   339.1
0.1590      -12459.7745  -12460.5908       0.8164   350.9
0.1600      -12459.7704  -12460.5646       0.7942   341.4
0.1610      -12459.7685  -12460.5192       0.7507   322.6
0.1620      -12459.7680  -12460.4781       0.7101   305.2
0.1630      -12459.7614  -12460.4551       0.6937   298.2
0.1640      -12459.7651  -12460.5310       0.7659   329.2
0.1650      -12459.7785  -12460.6479       0.8694   373.7
0.1660      -12459.7747  -12460.6387       0.8639   371.3
0.1670      -12459.7643  -12460.5681       0.8039   345.5
0.1680      -12459.7710  -12460.5788       0.8078   347.2
0.1690      -12459.7722  -12460.6051       0.8329   358.0
0.1700      -12459.7778  -12460.5858       0.8080   347.3
0.1710      -12459.7670  -12460.4497       0.6827   293.4
0.1720      -12459.7541  -12460.3397       0.5856   251.7
0.1730      -12459.7640  -12460.4283       0.6643   285.5
0.1740      -12459.7826  -12460.5757       0.7931   340.9
0.1750      -12459.7742  -12460.5417       0.7675   329.9
0.1760      -12459.7610  -12460.4470       0.6860   294.8
0.1770      -12459.7664  -12460.4893       0.7229   310.7
0.1780      -12459.7797  -12460.5962       0.8165   350.9
0.1790      -12459.7802  -12460.5627       0.7824   336.3
0.1800      -12459.7606  -12460.3711       0.6105   262.4
0.1810      -12459.7520  -12460.2869       0.5349   229.9
0.1820      -12459.7677  -12460.4305       0.6628   284.9
0.1830      -12459.7842  -12460.5826       0.7984   343.2
0.1840      -12459.7741  -12460.5327       0.7586   326.0
0.1850      -12459.7585  -12460.4345       0.6760   290.5
0.1860      -12459.7620  -12460.5292       0.7672   329.7
0.1870      -12459.7855  -12460.7416       0.9560   410.9
0.1880      -12459.7811  -12460.7397       0.9587   412.0
0.1890      -12459.7590  -12460.5580       0.7990   343.4
0.1900      -12459.7549  -12460.4982       0.7432   319.4
0.1910      -12459.7699  -12460.6269       0.8570   368.3
0.1920      -12459.7798  -12460.7395       0.9597   412.5
0.1930      -12459.7741  -12460.6981       0.9240   397.1
0.1940      -12459.7575  -12460.6123       0.8549   367.4
0.1950      -12459.7674  -12460.7042       0.9368   402.6
0.1960      -12459.7829  -12460.8393       1.0564   454.0
0.1970      -12459.7742  -12460.7878       1.0136   435.6
0.1980      -12459.7613  -12460.6518       0.8905   382.7
0.1990      -12459.7623  -12460.6125       0.8501   365.4
0.2000      -12459.7701  -12460.6645       0.8945   384.4
0.2010      -12459.7755  -12460.6996       0.9241   397.2
0.2020      -12459.7745  -12460.6412       0.8667   372.5
0.2030      -12459.7613  -12460.5366       0.7754   333.2
0.2040      -12459.7668  -12460.5537       0.7869   338.2
0.2050      -12459.7743  -12460.6300       0.8558   367.8
0.2060      -12459.7728  -12460.6402       0.8674   372.8
0.2070      -12459.7662  -12460.5897       0.8236   354.0
0.2080      -12459.7644  -12460.5635       0.7991   343.5
0.2090      -12459.7663  -12460.5953       0.8290   356.3
0.2100      -12459.7737  -12460.6547       0.8810   378.6
0.2110      -12459.7729  -12460.6530       0.8802   378.3
0.2120      -12459.7706  -12460.6006       0.8300   356.7
0.2130      -12459.7642  -12460.5479       0.7837   336.8
0.2140      -12459.7655  -12460.5745       0.8091   347.7
0.2150      -12459.7736  -12460.6550       0.8814   378.8
0.2160      -12459.7722  -12460.6714       0.8992   386.5
0.2170      -12459.7648  -12460.6341       0.8693   373.6
0.2180      -12459.7628  -12460.6507       0.8879   381.6
0.2190      -12459.7714  -12460.7510       0.9796   421.0
0.2200      -12459.7778  -12460.8241       1.0463   449.7
0.2210      -12459.7788  -12460.7654       0.9866   424.0
0.2220      -12459.7581  -12460.5955       0.8374   359.9
0.2230      -12459.7598  -12460.5770       0.8173   351.3
0.2240      -12459.7769  -12460.6921       0.9152   393.3
0.2250      -12459.7748  -12460.7042       0.9294   399.4
0.2260      -12459.7631  -12460.6277       0.8646   371.6
0.2270      -12459.7625  -12460.6265       0.8640   371.4
0.2280      -12459.7656  -12460.7350       0.9695   416.7
0.2290      -12459.7823  -12460.8850       1.1027   474.0
0.2300      -12459.7844  -12460.8469       1.0625   456.7
0.2310      -12459.7567  -12460.6170       0.8604   369.8
0.2320      -12459.7577  -12460.5593       0.8015   344.5
0.2330      -12459.7799  -12460.6644       0.8845   380.1
