Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -12459.7623  -12460.4466       0.6843   294.1
0.0010      -12459.7632  -12460.5194       0.7562   325.0
0.0020      -12459.7760  -12460.6776       0.9016   387.5
0.0030      -12459.7853  -12460.7333       0.9480   407.5
0.0040      -12459.7696  -12460.5747       0.8051   346.0
0.0050      -12459.7548  -12460.4460       0.6912   297.1
0.0060      -12459.7764  -12460.5321       0.7557   324.8
0.0070      -12459.7778  -12460.5665       0.7887   339.0
0.0080      -12459.7675  -12460.4934       0.7259   312.0
0.0090      -12459.7679  -12460.4461       0.6782   291.5
0.0100      -12459.7644  -12460.4499       0.6855   294.6
0.0110      -12459.7697  -12460.5389       0.7692   330.6
0.0120      -12459.7816  -12460.6257       0.8441   362.8
0.0130      -12459.7693  -12460.5641       0.7948   341.6
0.0140      -12459.7616  -12460.5189       0.7573   325.5
0.0150      -12459.7781  -12460.5807       0.8026   344.9
0.0160      -12459.7706  -12460.5577       0.7870   338.3
0.0170      -12459.7673  -12460.5143       0.7469   321.0
0.0180      -12459.7729  -12460.4953       0.7224   310.5
0.0190      -12459.7618  -12460.4540       0.6922   297.5
0.0200      -12459.7646  -12460.5217       0.7571   325.4
0.0210      -12459.7814  -12460.6554       0.8740   375.6
0.0220      -12459.7753  -12460.6428       0.8675   372.8
0.0230      -12459.7639  -12460.5684       0.8044   345.7
0.0240      -12459.7710  -12460.5842       0.8132   349.5
0.0250      -12459.7697  -12460.6245       0.8548   367.4
0.0260      -12459.7773  -12460.6625       0.8851   380.4
0.0270      -12459.7744  -12460.5939       0.8196   352.3
0.0280      -12459.7585  -12460.4613       0.7027   302.0
0.0290      -12459.7617  -12460.4779       0.7161   307.8
0.0300      -12459.7806  -12460.6079       0.8273   355.6
0.0310      -12459.7789  -12460.6053       0.8264   355.2
0.0320      -12459.7660  -12460.4910       0.7250   311.6
0.0330      -12459.7638  -12460.4521       0.6883   295.8
0.0340      -12459.7728  -12460.5310       0.7582   325.9
0.0350      -12459.7832  -12460.5839       0.8007   344.1
0.0360      -12459.7740  -12460.4615       0.6875   295.5
0.0370      -12459.7564  -12460.2995       0.5432   233.4
0.0380      -12459.7627  -12460.3447       0.5820   250.1
0.0390      -12459.7855  -12460.5027       0.7172   308.3
0.0400      -12459.7786  -12460.4706       0.6920   297.4
0.0410      -12459.7581  -12460.3431       0.5850   251.4
0.0420      -12459.7636  -12460.4043       0.6406   275.3
0.0430      -12459.7822  -12460.5788       0.7966   342.4
0.0440      -12459.7815  -12460.5970       0.8155   350.5
0.0450      -12459.7676  -12460.4490       0.6814   292.9
0.0460      -12459.7569  -12460.3466       0.5897   253.5
0.0470      -12459.7673  -12460.4425       0.6752   290.2
0.0480      -12459.7856  -12460.5832       0.7976   342.8
0.0490      -12459.7785  -12460.5203       0.7418   318.8
0.0500      -12459.7564  -12460.3667       0.6103   262.3
0.0510      -12459.7647  -12460.4229       0.6582   282.9
0.0520      -12459.7826  -12460.5832       0.8006   344.1
0.0530      -12459.7769  -12460.5891       0.8121   349.0
0.0540      -12459.7685  -12460.4887       0.7202   309.5
0.0550      -12459.7606  -12460.4240       0.6634   285.1
0.0560      -12459.7684  -12460.5065       0.7382   317.3
0.0570      -12459.7872  -12460.6149       0.8278   355.8
0.0580      -12459.7759  -12460.5093       0.7334   315.2
0.0590      -12459.7532  -12460.3591       0.6060   260.4
0.0600      -12459.7707  -12460.4532       0.6825   293.3
0.0610      -12459.7811  -12460.5753       0.7942   341.3
0.0620      -12459.7725  -12460.5507       0.7782   334.5
0.0630      -12459.7694  -12460.4775       0.7081   304.3
0.0640      -12459.7628  -12460.4343       0.6715   288.6
0.0650      -12459.7684  -12460.5121       0.7437   319.6
0.0660      -12459.7874  -12460.6193       0.8319   357.5
0.0670      -12459.7751  -12460.5189       0.7439   319.7
0.0680      -12459.7560  -12460.3883       0.6324   271.8
0.0690      -12459.7751  -12460.4602       0.6851   294.4
0.0700      -12459.7757  -12460.5048       0.7291   313.4
0.0710      -12459.7685  -12460.4709       0.7024   301.9
0.0720      -12459.7701  -12460.4534       0.6833   293.7
0.0730      -12459.7664  -12460.4577       0.6912   297.1
0.0740      -12459.7678  -12460.5398       0.7720   331.8
0.0750      -12459.7867  -12460.6550       0.8683   373.2
0.0760      -12459.7723  -12460.5860       0.8137   349.7
0.0770      -12459.7629  -12460.5015       0.7385   317.4
0.0780      -12459.7741  -12460.5245       0.7504   322.5
0.0790      -12459.7705  -12460.5158       0.7454   320.4
0.0800      -12459.7679  -12460.4944       0.7265   312.3
0.0810      -12459.7733  -12460.4923       0.7190   309.0
0.0820      -12459.7654  -12460.4673       0.7019   301.7
0.0830      -12459.7664  -12460.5320       0.7656   329.0
0.0840      -12459.7847  -12460.6619       0.8772   377.0
0.0850      -12459.7753  -12460.6386       0.8633   371.0
0.0860      -12459.7663  -12460.5590       0.7927   340.7
0.0870      -12459.7693  -12460.5484       0.7791   334.9
0.0880      -12459.7712  -12460.5659       0.7947   341.6
0.0890      -12459.7711  -12460.5645       0.7934   341.0
0.0900      -12459.7725  -12460.5370       0.7645   328.6
0.0910      -12459.7667  -12460.4857       0.7189   309.0
0.0920      -12459.7651  -12460.5043       0.7391   317.7
0.0930      -12459.7779  -12460.6107       0.8328   357.9
0.0940      -12459.7806  -12460.6329       0.8523   366.3
0.0950      -12459.7664  -12460.5339       0.7675   329.9
0.0960      -12459.7670  -12460.4867       0.7197   309.3
0.0970      -12459.7711  -12460.4982       0.7271   312.5
0.0980      -12459.7723  -12460.4960       0.7237   311.0
0.0990      -12459.7716  -12460.4571       0.6855   294.6
0.1000      -12459.7684  -12460.4012       0.6329   272.0
0.1010      -12459.7628  -12460.3994       0.6366   273.6
0.1020      -12459.7754  -12460.5144       0.7390   317.6
0.1030      -12459.7827  -12460.5736       0.7908   339.9
0.1040      -12459.7638  -12460.4876       0.7239   311.1
0.1050      -12459.7665  -12460.4836       0.7171   308.2
0.1060      -12459.7757  -12460.5410       0.7652   328.9
0.1070      -12459.7706  -12460.5272       0.7566   325.2
0.1080      -12459.7708  -12460.4951       0.7242   311.3
0.1090      -12459.7725  -12460.4516       0.6791   291.9
0.1100      -12459.7596  -12460.4142       0.6546   281.4
0.1110      -12459.7772  -12460.5194       0.7422   319.0
0.1120      -12459.7840  -12460.5484       0.7645   328.6
0.1130      -12459.7586  -12460.4363       0.6777   291.3
0.1140      -12459.7717  -12460.4770       0.7052   303.1
0.1150      -12459.7787  -12460.5294       0.7507   322.6
