Time,Learning rate,Train loss,Validation loss,MAE_energy,MAE_forces
146.05735301971436,0.0005,1.4290707518377133e-05,5.261723304883503e-07,0.0017593991772737354,0.0002681998070070727
290.82672810554504,0.0005,1.3828385537292931e-05,3.593562408745754e-07,0.0006995227746210731,0.00031734473562230255
441.4461028575897,0.0005,1.3656427578474962e-05,6.205587992589301e-07,0.0014245446772147262,0.0003374216438193495
590.8926985263824,0.0005,1.3503528493831852e-05,1.4234082571746853e-06,0.0012795270053466083,0.0006371872838914257
736.4125440120697,0.0005,1.3587129485276961e-05,2.4767144720705403e-07,0.0007543964085853077,0.00023245042335043697
881.8206222057343,0.0005,1.309532492779164e-05,2.2166649165544783e-07,0.0005299465423072434,0.0002198056946314561
1029.5072388648987,0.0005,1.2730635450157734e-05,1.3444769221289122e-06,0.0008203480442771252,0.0005306854801450821
1172.5010333061218,0.0005,1.2389620053978368e-05,6.335605337508543e-07,0.0005047653365259209,0.0003928853848903802
1319.897311925888,0.0005,1.3611724078254505e-05,1.6712968031795673e-07,0.0003271803183342854,0.00017952108043202856
1464.8481817245483,0.0005,1.424819519419085e-05,1.9273749433690313e-07,0.0006110643235297175,0.00017932126342525912
1607.282202243805,0.0005,1.424386190064375e-05,2.5334106261531984e-07,0.0009845802343043033,0.00017923436875571497
1755.9219553470612,0.0005,1.4257528771154826e-05,1.6602651669828104e-07,0.0003048810500149557,0.00017919586335752953
1916.4889295101166,0.0005,1.4246857305710403e-05,1.7094849104792863e-07,0.00038980611044826216,0.0001791953335740362
2073.478121995926,0.0005,1.4248800672391315e-05,1.973305636648881e-07,0.0006464912845403888,0.00017952377790654146
2218.316161632538,0.0005,1.4253657607267377e-05,1.7878037534724277e-07,0.0004820216495645582,0.0001795407509457113
2365.049829006195,0.0005,1.4250808009447558e-05,2.396145053680243e-07,0.0009131641423009569,0.0001795905327210979
2506.1368613243103,0.0005,1.4257029710313395e-05,1.7773776370200168e-07,0.00047237153426976875,0.00017917149144880198
2650.625001192093,0.0005,1.4267987671948924e-05,1.653467812010867e-07,0.00027874031110764006,0.0001790573742247135
2808.933718919754,0.0005,1.4249141224339513e-05,2.0752860679085217e-07,0.0007206504682399099,0.00017921615113435243
2964.3180627822876,0.0005,1.4249740997853255e-05,1.6783230741690413e-07,0.0003419650856048975,0.00017904960500783528
3121.9455857276917,0.0005,1.4257895861574666e-05,1.812548672206482e-07,0.0005091022537526442,0.00017904660477479747
3312.742686986923,0.0005,1.4260971324397187e-05,2.3897845698961363e-07,0.0009103399994492065,0.00017917448710822674
3497.0379540920258,0.0005,1.4256637176919495e-05,1.76597379494714e-07,0.00045996864367771193,0.00017913037525485613
3682.9264335632324,0.0005,1.4247872822218177e-05,2.1642467341020933e-07,0.0007791167215473251,0.0001792021895525977
3868.9053993225098,0.0004,1.4241924832838925e-05,1.6841968410452602e-07,0.0003496515899023507,0.00017950780829306933
4048.0380022525787,0.0004,1.4241659057429246e-05,1.7175401974434125e-07,0.0004007613914436661,0.00017920429157675244
4242.67005610466,0.0004,1.4247762650855923e-05,2.1343399282258702e-07,0.0007600733634171774,0.00017913992146862222
4424.167318344116,0.0004,1.4243390618399853e-05,1.8432570769677526e-07,0.0005019642918196041,0.00017932163439561717
4610.066236972809,0.0004,1.4252197176348735e-05,1.6913805245388768e-07,0.00036328892203528083,0.0001791311900446157
4802.599825620651,0.0004,1.4244356379984669e-05,1.661058344178401e-07,0.00030588652395999817,0.0001793132002359791
5005.84814786911,0.00032,1.4244115815395642e-05,2.3667623813494742e-07,0.0008978817411989439,0.00017917431167572634
5188.149557352066,0.00032,1.424250447245079e-05,1.786289511076511e-07,0.00044887637013016503,0.00018002762671137505
5369.5310344696045,0.00032,1.4248506368068625e-05,1.670781747696304e-07,0.00030410938245586293,0.00017964656734019863
5553.533698558807,0.00032,1.4242134565393583e-05,1.6598180486010472e-07,0.0002925322154192145,0.00018031223537831533
5732.369816064835,0.00032,1.4241852510268326e-05,2.3400650667237954e-07,0.0008731935864052503,0.0001818972382073601
5912.162368774414,0.00032,1.424710935799034e-05,1.6666239755497302e-07,0.000302486837071001,0.00018194686389998187
6097.384101390839,0.00025600000000000004,1.3543841627737585e-05,5.489803191093268e-07,0.0004381223888581189,0.0002840528669077213
6283.356215715408,0.00025600000000000004,1.0910460450810566e-05,2.0860910056974547e-07,0.0004015077204549016,0.0002059613021545509
6470.933909654617,0.00025600000000000004,1.0106911477587465e-05,3.050760219585058e-07,0.0007255471590099205,0.00024472303392313835
6661.199742078781,0.00025600000000000004,8.931055095153794e-06,2.1225898384857887e-07,0.000385815922510119,0.00021074890908332437
6840.630660057068,0.00025600000000000004,7.750681961426808e-06,3.4024466346610493e-07,0.0004507022302050245,0.00029375555495304677
7013.065733671188,0.00025600000000000004,7.322774719512704e-06,6.125003410570873e-07,0.0005224219466686008,0.00036234135758045507
7191.966953277588,0.00020480000000000004,7.755303198705432e-06,3.2287279755033315e-07,0.000390379997207674,0.0002589186860347615
7366.8986048698425,0.00020480000000000004,6.097828906475367e-06,2.4753909979299825e-07,0.0003754191609333475,0.0002552453358452853
7539.213692903519,0.00020480000000000004,5.483657084452642e-06,2.427777097807615e-07,0.0003779809452371552,0.0002468672850281345
7886.352204799652,0.00020480000000000004,5.518711909223373e-06,1.9676164604420788e-07,0.0003136113031810055,0.00022056204807099507
8051.136025428772,0.00020480000000000004,5.902007498909456e-06,2.450401575150307e-07,0.00039907633881739455,0.0002463973294275261
8219.948231697083,0.00020480000000000004,4.904317840653594e-06,2.602906295665619e-07,0.000566315519175987,0.0002543718717804748
8384.467148303986,0.00016384000000000006,4.0089959659854734e-06,2.1397382574148137e-07,0.00032971621417891584,0.00024002512619524538
8552.545802116394,0.00016384000000000006,3.910491781388026e-06,2.0030746617583085e-07,0.00035621541926320787,0.00021551076354808175
8709.173044681549,0.00016384000000000006,3.731295525144174e-06,2.0856960025861237e-07,0.0004062001396705455,0.0002285776569980145
8873.074481725693,0.00016384000000000006,3.5369586694327102e-06,2.0336169250367852e-07,0.00036808424608580025,0.0002247392691152291
9039.442059278488,0.00016384000000000006,3.348236203509547e-06,2.097931433171496e-07,0.00033744728934880186,0.00023787394207816018
9196.338379144669,0.00016384000000000006,3.2860732601999177e-06,2.875186763652282e-07,0.0003780457553061751,0.00025568092503494376
9348.113141536713,0.00013107200000000006,3.0812154444959106e-06,2.0849985405668736e-07,0.00033089868725460293,0.00024231814977678437
9495.994032621384,0.00013107200000000006,2.7975023607758055e-06,2.176656349359707e-07,0.00031969998339059205,0.00024173085356812442
9641.323335647583,0.00013107200000000006,2.636659168871902e-06,1.9719078941948797e-07,0.00033736478949481354,0.0002337496124091558
9785.826171398163,0.00013107200000000006,2.5719652884805823e-06,1.7539142822053932e-07,0.0003306369925603576,0.00022116668187987265
9931.908304929733,0.00013107200000000006,2.3319184927990123e-06,1.8786943209614383e-07,0.00031508970688969387,0.00023073743372676998
10080.526197195053,0.00013107200000000006,2.1862148742780583e-06,1.8145778132105938e-07,0.0003116406464855572,0.00022663351084338502
10225.988140821457,0.00010485760000000006,1.8940342341831062e-06,1.8163527238701516e-07,0.0003196857999794247,0.00022700515472442258
10377.722551584244,0.00010485760000000006,1.874383040772365e-06,2.0461207063049437e-07,0.0003509553476418432,0.00025019276490935156
10523.552057504654,0.00010485760000000006,1.7879327410723622e-06,1.7763455523933659e-07,0.000324498939842897,0.00022788831369770278
10668.225223064423,0.00010485760000000006,1.8015759894165484e-06,1.6644646502950165e-07,0.00029070206817493726,0.0002182856555661635
10816.451804876328,0.00010485760000000006,1.7986757076254857e-06,1.952044970423561e-07,0.0003552810256056773,0.00023536786935249068
10967.52981710434,0.00010485760000000006,1.7118600029752962e-06,1.8315823513737062e-07,0.00030884858618514954,0.00023657891573168822
11114.046951770782,8.388608000000005e-05,1.5996812570580054e-06,1.7194976737536228e-07,0.00029723947608954407,0.0002184449693272149
11265.241616725922,8.388608000000005e-05,1.472396221834482e-06,1.6827244612138693e-07,0.0003007675837291686,0.00022428294024279307
11417.332745790482,8.388608000000005e-05,1.4148745828366226e-06,1.8196137742310105e-07,0.00032067810485341395,0.00023872995555521576
11564.478668928146,8.388608000000005e-05,1.4923301986005112e-06,1.5902205541207247e-07,0.00028369310095342824,0.00021697074331502705
11709.848479270935,8.388608000000005e-05,1.3676789058845174e-06,1.6848911296243886e-07,0.00028860460963232984,0.0002239067848605811
11852.714792728424,8.388608000000005e-05,1.2354745074452111e-06,1.8989847953732042e-07,0.0003045403244316276,0.00024045608922433867
11994.381556749344,8.388608000000005e-05,1.2537453868992632e-06,1.7985372703643865e-07,0.0002914774834648597,0.00022977000288665296
12137.993085384369,8.388608000000005e-05,1.3419863594906766e-06,1.716684186243711e-07,0.0002883476549693569,0.0002268844011662252
12421.427757263184,8.388608000000005e-05,1.2576322011668139e-06,1.583987727716285e-07,0.0002786833055390616,0.00021491154277356584
12658.251450538635,8.388608000000005e-05,1.1704162786845274e-06,1.7476018196155297e-07,0.0002892915641299396,0.00023076017679758714
12805.060672283173,8.388608000000005e-05,1.1290716935181688e-06,1.7187680687913431e-07,0.0003172511265097455,0.0002277234597789141
12943.513225317001,8.388608000000005e-05,1.1000563583309918e-06,1.6802115700431665e-07,0.00027972869531561176,0.00022379704004291584
13091.831924200058,8.388608000000005e-05,1.1774562336874794e-06,1.6290621111736403e-07,0.000284900545835626,0.00021929404147171967
13249.966944932938,8.388608000000005e-05,1.2757986830131963e-06,1.5383806147561963e-07,0.0002807385669070754,0.00021465530118547138
13413.132098436356,8.388608000000005e-05,1.097780182901298e-06,1.733311835119822e-07,0.0002905504476275382,0.00023052169571208112
13571.653800010681,8.388608000000005e-05,9.850787559499974e-07,1.7349956433809767e-07,0.0002966224911924371,0.00022803887654272668
13738.69981789589,8.388608000000005e-05,1.0316874796785225e-06,1.6296292087120134e-07,0.00027612228431303265,0.00022315984123593403
13907.242094993591,8.388608000000005e-05,1.0035214267221094e-06,1.6227948362224075e-07,0.00028098422972084333,0.00022138217993132356
14073.832365989685,8.388608000000005e-05,1.0070883547214082e-06,1.5496444207055427e-07,0.0002815751962428692,0.00021011507938965224
14245.172154903412,8.388608000000005e-05,9.450142038442966e-07,1.4124556928998834e-07,0.0002696524130313946,0.00020325451970630738
14413.398725032806,8.388608000000005e-05,9.365282076920778e-07,1.5705373229757404e-07,0.000273897788489279,0.0002170033925180582
14596.051253557205,8.388608000000005e-05,9.784106243742041e-07,1.552428297454389e-07,0.00029705490254866617,0.00021139975559802864
14786.38846707344,8.388608000000005e-05,1.001093864255065e-06,1.5272974135710494e-07,0.0002746337243142989,0.00020981168063547185
14957.810678958893,8.388608000000005e-05,9.214677335148691e-07,1.6550659166175706e-07,0.000284315324057502,0.00022194269500323572
15148.433157682419,8.388608000000005e-05,9.546808848288624e-07,1.8743505306056952e-07,0.000289234031596834,0.00023829280397708147
15327.808247089386,8.388608000000005e-05,9.331595497340528e-07,1.490940729945156e-07,0.00026556096048534526,0.00020844485364742232
15495.170806407928,6.710886400000004e-05,8.819962923951596e-07,1.681723345501318e-07,0.00027558260875809994,0.00023040115369130272
15660.41942191124,6.710886400000004e-05,7.498509514857199e-07,1.5327035888090812e-07,0.00027447075479813065,0.0002152077366470756
15832.655895471573,6.710886400000004e-05,7.14100532077433e-07,1.5285271211221142e-07,0.000265988164402188,0.00021450473849351207
15997.619549274445,6.710886400000004e-05,6.958580538545256e-07,1.671030070695134e-07,0.0002772680459572712,0.0002264979287671546
16163.844422340393,6.710886400000004e-05,7.373084851818313e-07,1.5833789964109224e-07,0.00028554033251600684,0.00021809027170982315
16340.398287773132,6.710886400000004e-05,7.54683157083047e-07,1.565341634203188e-07,0.00027353079569888907,0.0002179520060383732
16503.714995384216,5.3687091200000036e-05,7.101132543845256e-07,1.5558927654840682e-07,0.0002689937644290694,0.00021637397886176284
16667.74596810341,5.3687091200000036e-05,6.191949726530588e-07,1.5184526841466317e-07,0.0002743943981319035,0.00021456819616314196
16826.80424976349,5.3687091200000036e-05,6.346234447327514e-07,1.5562030764210144e-07,0.00026766825018330564,0.00021757361427579005
16984.786964178085,5.3687091200000036e-05,5.938128074062243e-07,1.521150134709548e-07,0.00026967252367586525,0.000213906834792363
17141.782098054886,5.3687091200000036e-05,6.426725172954395e-07,1.5458730106215902e-07,0.000271725359141783,0.00021850958186270738
17292.79361486435,5.3687091200000036e-05,6.436783735420671e-07,1.5642264544907247e-07,0.00027100950342946815,0.00021783821974855123
17441.105857610703,4.2949672960000034e-05,5.54700592295565e-07,1.6249847462035394e-07,0.0002728457702025935,0.0002240218214358686
17588.23214650154,4.2949672960000034e-05,5.362835187537885e-07,1.5485906468354348e-07,0.000273342434539245,0.00021556667122381946
17737.38736128807,4.2949672960000034e-05,5.454163149523073e-07,1.5423487682358904e-07,0.00026827788733498894,0.00021596785818864763
17883.139941215515,4.2949672960000034e-05,5.11038493976712e-07,1.5198341432381967e-07,0.00026524591501174655,0.00021406065038711487
18027.314831972122,4.2949672960000034e-05,5.163299035054747e-07,1.5316767461676095e-07,0.00027022395030678584,0.00021514276792489303
18174.883377313614,4.2949672960000034e-05,5.21947761623065e-07,1.5466218721219004e-07,0.0002691573813315245,0.00021663875126116047
18319.530929088593,3.435973836800003e-05,5.120091703835206e-07,1.4914304048921355e-07,0.0002610399609819751,0.00021195194400044985
18467.259776592255,3.435973836800003e-05,4.771593233668936e-07,1.5889940068805619e-07,0.00026724346948958557,0.0002214624710409057
18615.070560216904,3.435973836800003e-05,4.5104274734530935e-07,1.5626341454200166e-07,0.00027409725286554475,0.00021802588887146192
18769.382217645645,3.435973836800003e-05,4.455857342862135e-07,1.5398592815174528e-07,0.00027970396890896154,0.00021618726778521065
18915.633029460907,3.435973836800003e-05,4.420561183240412e-07,1.4676302611410507e-07,0.00026478498894528,0.00020902654512341273
19079.38467335701,3.435973836800003e-05,4.451292416353114e-07,1.5247768972659337e-07,0.0002699451692594721,0.0002135444310056132
19235.315363407135,2.7487790694400027e-05,4.311052774907953e-07,1.5584301399013122e-07,0.0002721178836168292,0.00021842820220411308
19378.616483211517,2.7487790694400027e-05,4.1634020881309297e-07,1.5836717092898578e-07,0.00026870874720952997,0.00021929719479413945
19527.961297035217,2.7487790694400027e-05,4.096133129493085e-07,1.5492052667859247e-07,0.0002674065833455188,0.0002161867167796353
19671.343338489532,2.7487790694400027e-05,4.087335556812732e-07,1.5841396799948227e-07,0.000269275873601714,0.0002199904148346158
19813.14527106285,2.7487790694400027e-05,3.9624414965344634e-07,1.514180519961439e-07,0.0002692417772843783,0.0002120886159084168
19955.484661340714,2.7487790694400027e-05,3.888236432408876e-07,1.5388393665047295e-07,0.0002624034923169347,0.00021582247256150434
20099.093435049057,2.1990232555520022e-05,3.8106617178867983e-07,1.501741331442208e-07,0.00027050768796846113,0.00021203472897845873
20244.806757211685,2.1990232555520022e-05,3.736476051562354e-07,1.5346305877600442e-07,0.00026713670584877034,0.00021493544848959168
20389.16717529297,2.1990232555520022e-05,3.6781194770207917e-07,1.5519946225511782e-07,0.00026825965300622556,0.0002161598341244152
20535.569427490234,2.1990232555520022e-05,3.654817304374891e-07,1.5307122673052786e-07,0.00027147710889289557,0.00021465507559844776
20703.323014974594,2.1990232555520022e-05,3.619657237061702e-07,1.5304578796782043e-07,0.0002630151283015039,0.00021552443043846222
20897.5365357399,2.1990232555520022e-05,3.5842565031773964e-07,1.569703580953097e-07,0.0002709869697796421,0.00021818717761629226
21057.154242038727,1.7592186044416018e-05,3.503877286876733e-07,1.5284620007266492e-07,0.0002645274074517374,0.00021385508164099452
21216.74679660797,1.7592186044416018e-05,3.4391174935544113e-07,1.5707102123135862e-07,0.0002657863694311118,0.00021917893812469966
21362.343621969223,1.7592186044416018e-05,3.399114505880929e-07,1.5669909175991538e-07,0.0002713368864037875,0.00021876888652871086
21506.81350851059,1.7592186044416018e-05,3.3613386953290637e-07,1.5270957314439393e-07,0.00027235448491614987,0.00021328467434418767
21654.127888202667,1.7592186044416018e-05,3.337069432839401e-07,1.5888841938510588e-07,0.0002663575025568434,0.0002195997889114854
21795.798477888107,1.7592186044416018e-05,3.3176404685630877e-07,1.55547486870522e-07,0.00028113392208638287,0.00021604901380811094
21939.474048137665,1.4073748835532815e-05,3.2704446947739995e-07,1.5457762945131347e-07,0.0002693572655246044,0.00021525153012070977
22086.080587625504,1.4073748835532815e-05,3.2133425590219476e-07,1.5633388178007411e-07,0.0002647290179234005,0.0002178541695746524
22231.786457777023,1.4073748835532815e-05,3.1856170367250414e-07,1.547509910007905e-07,0.00026372358019227703,0.00021596825990881943
22378.031782865524,1.4073748835532815e-05,3.161802901248123e-07,1.5634415021043014e-07,0.0002655559946114181,0.00021698231800325663
22521.59524011612,1.4073748835532815e-05,3.140887561308148e-07,1.5641993432141676e-07,0.0002672865948266008,0.0002181017141696497
22669.12321949005,1.4073748835532815e-05,3.110730193911504e-07,1.565135081952329e-07,0.0002732316566452937,0.0002168526258847797
22815.107826709747,1.1258999068426253e-05,3.0703879374138765e-07,1.5610901450435755e-07,0.000268149614329559,0.00021676967525315746
22962.962690114975,1.1258999068426253e-05,3.039687978312333e-07,1.5604487322345985e-07,0.00026856006498746863,0.00021694084967236482
23110.945910930634,1.1258999068426253e-05,3.020558085210512e-07,1.5491592510857853e-07,0.0002671680853399039,0.0002156175865136363
23276.377774715424,1.1258999068426253e-05,3.00615139712801e-07,1.5599431213797477e-07,0.00026909090063054463,0.00021700802604081453
23429.84440970421,1.1258999068426253e-05,2.9803920546989107e-07,1.5467748356631782e-07,0.0002626665492489337,0.00021589756293299918
23571.324120521545,1.1258999068426253e-05,2.9603544638356907e-07,1.5474354592240336e-07,0.0002641601515815637,0.00021600508410268016
23720.990940332413,9.007199254741003e-06,2.9291627365479743e-07,1.5641729856608055e-07,0.00026548912319185547,0.00021754011439582057
23877.759348869324,9.007199254741003e-06,2.908016056081264e-07,1.5567400631755214e-07,0.00026691367101022934,0.0002163218181392747
24029.697530031204,9.007199254741003e-06,2.8913149100506796e-07,1.5622748869542624e-07,0.0002708293174450773,0.0002168261914328603
24207.808151245117,9.007199254741003e-06,2.877745954260602e-07,1.5695895273315496e-07,0.00026805890577861645,0.00021767332767679665
24385.29740166664,9.007199254741003e-06,2.859369724592664e-07,1.5613540765116453e-07,0.00026544173474303534,0.00021770022847017066
24548.211928844452,9.007199254741003e-06,2.844206290072426e-07,1.5648751430907825e-07,0.0002660394065487708,0.00021732792025431992
24717.395320892334,7.205759403792802e-06,2.821112588282659e-07,1.564008547649265e-07,0.0002699163667712128,0.0002170016258616535
24865.654822826385,7.205759403792802e-06,2.805737104882855e-07,1.56117606618017e-07,0.0002654016065621363,0.00021729112909115093
25016.549011945724,7.205759403792802e-06,2.7919959578637244e-07,1.5623597496833286e-07,0.0002647392531548576,0.00021699437612443472
25168.708652734756,7.205759403792802e-06,2.7804000408171436e-07,1.5446487362907879e-07,0.0002654463506291904,0.00021554367841303314
25316.358672380447,7.205759403792802e-06,2.7670975727178695e-07,1.5558666036602497e-07,0.0002656154055529214,0.0002162249860767689
25468.154765605927,7.205759403792802e-06,2.7567792804339407e-07,1.5653418996763867e-07,0.0002674907409405023,0.00021689252147269952
