Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -21628.5129  -21629.9006       1.3878   298.2
0.0010      -21628.5211  -21630.0791       1.5580   334.8
0.0020      -21628.5335  -21630.3115       1.7780   382.1
0.0030      -21628.5368  -21630.4101       1.8733   402.6
0.0040      -21628.5287  -21630.3201       1.7914   385.0
0.0050      -21628.5189  -21630.1604       1.6415   352.8
0.0060      -21628.5182  -21630.0757       1.5575   334.7
0.0070      -21628.5235  -21630.0831       1.5596   335.2
0.0080      -21628.5282  -21630.1046       1.5764   338.8
0.0090      -21628.5263  -21630.0734       1.5471   332.5
0.0100      -21628.5204  -21630.0208       1.5004   322.4
0.0110      -21628.5202  -21630.0336       1.5134   325.2
0.0120      -21628.5272  -21630.1147       1.5875   341.2
0.0130      -21628.5323  -21630.1613       1.6290   350.1
0.0140      -21628.5269  -21630.1003       1.5734   338.1
0.0150      -21628.5161  -21630.0121       1.4960   321.5
0.0160      -21628.5157  -21630.0499       1.5342   329.7
0.0170      -21628.5260  -21630.2190       1.6929   363.8
0.0180      -21628.5351  -21630.3633       1.8282   392.9
0.0190      -21628.5337  -21630.3443       1.8106   389.1
0.0200      -21628.5223  -21630.1845       1.6622   357.2
0.0210      -21628.5145  -21630.0520       1.5375   330.4
0.0220      -21628.5183  -21630.0641       1.5458   332.2
0.0230      -21628.5279  -21630.1666       1.6386   352.1
0.0240      -21628.5316  -21630.2178       1.6862   362.4
0.0250      -21628.5254  -21630.1632       1.6378   352.0
0.0260      -21628.5200  -21630.0892       1.5692   337.2
0.0270      -21628.5224  -21630.0753       1.5529   333.7
0.0280      -21628.5271  -21630.0910       1.5639   336.1
0.0290      -21628.5285  -21630.0654       1.5370   330.3
0.0300      -21628.5227  -21629.9844       1.4616   314.1
0.0310      -21628.5163  -21629.9367       1.4204   305.3
0.0320      -21628.5193  -21630.0163       1.4970   321.7
0.0330      -21628.5294  -21630.1784       1.6490   354.4
0.0340      -21628.5354  -21630.2718       1.7364   373.1
0.0350      -21628.5297  -21630.2068       1.6771   360.4
0.0360      -21628.5178  -21630.0689       1.5511   333.3
0.0370      -21628.5145  -21630.0282       1.5138   325.3
0.0380      -21628.5213  -21630.1356       1.6143   346.9
0.0390      -21628.5316  -21630.2845       1.7529   376.7
0.0400      -21628.5346  -21630.3196       1.7851   383.6
0.0410      -21628.5267  -21630.1985       1.6717   359.3
0.0420      -21628.5188  -21630.0369       1.5180   326.2
0.0430      -21628.5185  -21629.9579       1.4394   309.3
0.0440      -21628.5232  -21629.9741       1.4509   311.8
0.0450      -21628.5263  -21630.0180       1.4917   320.6
0.0460      -21628.5231  -21630.0451       1.5219   327.1
0.0470      -21628.5200  -21630.0961       1.5761   338.7
